Departamento,Municipio,total_obs,total_hab,votos_si,votos_no,votos_validos,votos_nomarcados,votos_nulos
NARIÑO,TUQUERRES,10320,34090,6384,3521,9905,147,268
NARIÑO,YACUANQUER,3352,8133,2169,1034,3203,61,88
NORTE DE SAN,ABREGO,6377,21133,2095,4149,6244,56,77
NORTE DE SAN,ARBOLEDAS,3096,6826,907,2078,2985,53,58
NORTE DE SAN,BOCHALEMA,2941,6046,1080,1786,2866,25,50
NORTE DE SAN,BUCARASICA,1498,4108,413,985,1398,30,70
NORTE DE SAN,CACHIRA,2634,6959,531,2060,2591,15,28
NORTE DE SAN,CACOTA,873,2156,413,432,845,4,24
NORTE DE SAN,CHINACOTA,5453,11426,1983,3351,5334,29,90
NORTE DE SAN,CHITAGA,2908,7562,1056,1729,2785,45,78
NORTE DE SAN,CONVENCION,3732,14827,2101,1411,3512,83,137
NORTE DE SAN,CUCUTA,245727,542712,83572,157742,241314,1325,3088
NORTE DE SAN,CUCUTILLA,2939,6168,938,1850,2788,79,72
NORTE DE SAN,DURANIA,1933,4279,1003,885,1888,13,32
NORTE DE SAN,EL CARMEN,3059,10030,1515,1388,2903,38,118
NORTE DE SAN,EL TARRA,3222,11167,2827,262,3089,41,92
NORTE DE SAN,EL ZULIA,8042,20243,2770,5024,7794,67,181
NORTE DE SAN,GRAMALOTE,1946,4850,632,1253,1885,23,38
NORTE DE SAN,HACARI,1839,6906,1562,184,1746,34,59
NORTE DE SAN,HERRAN,1192,3574,377,769,1146,18,28
NORTE DE SAN,LA ESPERANZA,3060,8292,1021,1941,2962,43,55
NORTE DE SAN,LA PLAYA,1574,6626,734,769,1503,32,39
NORTE DE SAN,LABATECA,1709,4905,877,782,1659,18,32
NORTE DE SAN,LOS PATIOS,28831,78165,7986,20494,28480,58,293
NORTE DE SAN,LOURDES,1299,3214,317,904,1221,25,53
NORTE DE SAN,MUTISCUA,1134,2664,499,605,1104,9,21
NORTE DE SAN,OCAÑA,27977,76057,10753,16720,27473,126,378
NORTE DE SAN,PAMPLONA,18963,43064,6506,12079,18585,85,293
NORTE DE SAN,PAMPLONITA,1842,3796,577,1178,1755,41,46
NORTE DE SAN,PUERTO SANTANDER,2236,13119,591,1607,2198,10,28
NORTE DE SAN,RAGONVALIA,1728,6440,422,1266,1688,17,23
NORTE DE SAN,SALAZAR,3156,7487,974,2029,3003,47,106
NORTE DE SAN,SAN CALIXTO,2607,6979,2393,121,2514,25,68
NORTE DE SAN,SAN CAYETANO,2244,6918,694,1509,2203,8,33
NORTE DE SAN,SANTIAGO,1459,3311,642,779,1421,8,30
NORTE DE SAN,SARDINATA,5913,17063,1991,3725,5716,78,119
NORTE DE SAN,SILOS,1392,3968,259,1100,1359,15,18
NORTE DE SAN,TEORAMA,2953,9725,2429,380,2809,45,99
NORTE DE SAN,TIBU,9182,31208,5847,3008,8855,99,228
NORTE DE SAN,TOLEDO,4310,12026,1311,2803,4114,61,135
NORTE DE SAN,VILLA CARO,1261,3727,297,920,1217,21,23
NORTE DE SAN,VILLA DEL ROSARIO,26839,79404,6360,20126,26486,78,275
PUTUMAYO,COLON,1912,4244,1072,804,1876,17,19
PUTUMAYO,MOCOA,13066,35245,7718,5105,12823,84,159
PUTUMAYO,ORITO,8226,25937,6165,1820,7985,86,155
PUTUMAYO,PUERTO ASIS,11158,41742,6267,4539,10806,145,207
PUTUMAYO,PUERTO CAICEDO,2878,8922,1947,802,2749,50,79
PUTUMAYO,PUERTO GUZMAN,3106,10561,2176,832,3008,41,57
PUTUMAYO,PUERTO LEGUIZAMO,3794,14436,2031,1695,3726,29,39
PUTUMAYO,SAN FRANCISCO,1998,4710,1069,849,1918,35,45
PUTUMAYO,SAN MIGUEL (LA DORADA),3487,11779,2816,559,3375,56,56
PUTUMAYO,SANTIAGO,2320,5929,1359,881,2240,32,48
PUTUMAYO,SIBUNDOY,4434,10309,2499,1783,4282,75,77
PUTUMAYO,VALLE DEL GUAMUEZ (LA HORMIGA),7917,23170,6655,1079,7734,78,105
PUTUMAYO,VILLAGARZON,5794,15777,2869,2757,5626,54,114
QUINDIO,ARMENIA,105002,247873,43835,59049,102884,913,1205
QUINDIO,BUENAVISTA,1028,2857,441,564,1005,6,17
QUINDIO,CALARCA,23963,58297,8767,14557,23324,262,377
QUINDIO,CIRCASIA,9364,21943,3343,5837,9180,53,131
QUINDIO,CORDOBA,1960,5090,872,1028,1900,25,35
QUINDIO,FILANDIA,4256,10343,1522,2627,4149,39,68
QUINDIO,GENOVA,2810,7384,987,1739,2726,29,55
QUINDIO,LA TEBAIDA,11156,27501,4032,6822,10854,98,204
QUINDIO,MONTENEGRO,11873,33103,3398,8140,11538,108,227
QUINDIO,PIJAO,2385,6022,815,1523,2338,13,34
QUINDIO,QUIMBAYA,12049,29792,4528,7156,11684,211,154
QUINDIO,SALENTO,2578,5762,853,1666,2519,27,32
RISARALDA,APIA,3800,10487,1265,2404,3669,47,84
RISARALDA,BALBOA,2032,5565,891,1074,1965,23,44
RISARALDA,BELEN DE UMBRIA,7133,21462,2639,4278,6917,73,143
RISARALDA,DOSQUEBRADAS,67458,154003,28055,37995,66050,364,1044
RISARALDA,GUATICA,3795,10351,1240,2443,3683,45,67
RISARALDA,LA CELIA,2457,6500,903,1462,2365,33,59
RISARALDA,LA VIRGINIA,12411,31403,4852,7229,12081,120,210
RISARALDA,MARSELLA,5602,15561,2067,3350,5417,88,97
RISARALDA,MISTRATO,3765,11096,1926,1716,3642,58,65
RISARALDA,PEREIRA,165775,393135,75063,87598,162661,836,2278
RISARALDA,PUEBLO RICO,2851,9245,1720,1008,2728,76,47
RISARALDA,QUINCHIA,8321,19821,4144,3734,7878,184,259
RISARALDA,SANTA ROSA DE CABAL,25498,59393,9970,14826,24796,184,518
RISARALDA,SANTUARIO,3775,12258,1473,2113,3586,70,119
SAN ANDRES,PROVIDENCIA,1210,4017,974,216,1190,16,4
SAN ANDRES,SAN ANDRES,8466,43864,4301,4097,8398,36,32
SANTANDER,AGUADA,361,1524,165,182,347,8,6
SANTANDER,ALBANIA,1200,3290,656,508,1164,21,15
SANTANDER,ARATOCA,2680,6477,1328,1251,2579,50,51
SANTANDER,BARBOSA,9191,24199,4413,4552,8965,64,162
SANTANDER,BARICHARA,2608,6261,1452,1085,2537,20,51
SANTANDER,BARRANCABERMEJA,77255,167609,38260,37440,75700,402,1153
SANTANDER,BETULIA,1503,3989,620,833,1453,11,39
SANTANDER,BOLIVAR,2845,8280,1400,1271,2671,76,98
SANTANDER,BUCARAMANGA,225567,495063,100143,122985,223128,457,1982
SANTANDER,CABRERA,695,1644,446,232,678,7,10
SANTANDER,CALIFORNIA,708,1676,152,532,684,5,19
SANTANDER,CAPITANEJO,1840,4870,672,1103,1775,33,32
SANTANDER,CARCASI,1651,3656,509,1058,1567,23,61
SANTANDER,CEPITA,943,1771,584,318,902,16,25
SANTANDER,CERRITO,2177,4803,949,1109,2058,37,82
SANTANDER,CHARALA,3582,9583,2148,1353,3501,28,53
SANTANDER,CHARTA,1339,3218,372,941,1313,8,18
SANTANDER,CHIMA,913,2338,558,299,857,25,31
SANTANDER,CHIPATA,989,4142,687,273,960,17,12
SANTANDER,CIMITARRA,9548,28154,3718,5480,9198,79,271
SANTANDER,CONCEPCION,1884,4893,642,1015,1657,165,62
SANTANDER,CONFINES,865,2348,321,524,845,6,14
SANTANDER,CONTRATACION,1371,2920,762,554,1316,25,30
SANTANDER,COROMORO,1594,4141,795,691,1486,41,67
SANTANDER,CURITI,3378,8217,1526,1741,3267,35,76
SANTANDER,EL CARMEN,4458,10715,1138,3114,4252,44,162
SANTANDER,EL GUACAMAYO,813,1590,539,234,773,17,23
SANTANDER,EL PEÑON,1328,3339,620,631,1251,32,45
SANTANDER,EL PLAYON,4361,11556,1157,3041,4198,59,104
SANTANDER,ENCINO,692,2123,405,244,649,17,26
SANTANDER,ENCISO,1345,3267,595,702,1297,18,30
SANTANDER,FLORIAN,1703,5159,1115,550,1665,16,22
SANTANDER,FLORIDABLANCA,87866,178805,36189,50640,86829,167,870
SANTANDER,GALAN,1082,2536,434,603,1037,14,31
SANTANDER,GAMBITA,1135,3239,603,497,1100,16,19
SANTANDER,GIRON,45814,105643,17099,28052,45151,114,549
SANTANDER,GUACA,2052,5140,766,1215,1981,33,38
SANTANDER,GUADALUPE,1567,4334,607,908,1515,22,30
SANTANDER,GUAPOTA,774,1834,381,357,738,9,27
SANTANDER,GUAVATA,1345,4470,808,495,1303,14,28
SANTANDER,GUEPSA,1462,4173,885,548,1433,9,20
SANTANDER,HATO,817,1825,464,310,774,24,19
SANTANDER,JESUS MARIA,1055,3248,645,375,1020,16,19
SANTANDER,JORDAN,399,1107,194,191,385,11,3
SANTANDER,LA BELLEZA,2250,5353,741,1464,2205,17,28
SANTANDER,LA PAZ,1217,4139,681,490,1171,17,29
SANTANDER,LANDAZURI,3055,9356,1484,1336,2820,62,173
SANTANDER,LEBRIJA,12831,29381,3857,8738,12595,61,175
SANTANDER,LOS SANTOS,4109,8529,1643,2265,3908,35,166
SANTANDER,MACARAVITA,840,2244,456,347,803,16,21
SANTANDER,MALAGA,6841,15663,2538,4086,6624,39,178
SANTANDER,MATANZA,2256,4853,866,1334,2200,17,39
SANTANDER,MOGOTES,2854,7512,1165,1501,2666,60,128
SANTANDER,MOLAGAVITA,1433,3592,531,830,1361,34,38
SANTANDER,OCAMONTE,1670,3773,1129,489,1618,17,35
SANTANDER,OIBA,3582,8450,1543,1931,3474,29,79
SANTANDER,ONZAGA,1276,3795,634,554,1188,47,41
SANTANDER,PALMAR,594,1353,397,183,580,8,6
SANTANDER,PALMAS DEL SOCORRO,1013,2453,526,456,982,11,20
SANTANDER,PARAMO,1586,3201,791,754,1545,8,33
SANTANDER,PIEDECUESTA,49041,100462,19145,28817,47962,340,739
SANTANDER,PINCHOTE,1357,3181,742,577,1319,13,25
SANTANDER,PUENTE NACIONAL,4456,12869,2492,1857,4349,35,72
SANTANDER,PUERTO PARRA,1545,5414,487,1026,1513,15,17
SANTANDER,PUERTO WILCHES,8619,22860,4098,4317,8415,42,162
SANTANDER,RIONEGRO,8296,22075,2675,5347,8022,95,179
SANTANDER,SABANA DE TORRES,7916,20581,2386,5347,7733,59,124
SANTANDER,SAN ANDRES,3085,7084,1642,1312,2954,52,79
SANTANDER,SAN BENITO,880,2989,584,279,863,9,8
SANTANDER,SAN GIL,17462,40079,8574,8416,16990,215,257
SANTANDER,SAN JOAQUIN,739,2219,429,264,693,21,25
SANTANDER,SAN JOSE DE MIRANDA,1818,3917,578,1187,1765,28,25
SANTANDER,SAN MIGUEL,825,2161,423,356,779,22,24
SANTANDER,SAN VICENTE DE CHUCURI,9173,24555,3604,5237,8841,80,252
SANTANDER,SANTA BARBARA,734,1995,255,453,708,11,15
SANTANDER,SANTA HELENA DEL OPON,1113,3101,396,633,1029,19,65
SANTANDER,SIMACOTA,2290,5898,1237,970,2207,17,66
SANTANDER,SOCORRO,9556,23774,4348,5049,9397,36,123
SANTANDER,SUAITA,2678,8256,1395,1189,2584,29,65
SANTANDER,SUCRE,1858,5837,698,1104,1802,28,28
SANTANDER,SURATA,1343,3016,478,805,1283,20,40
SANTANDER,TONA,2039,4950,808,1149,1957,16,66
SANTANDER,VALLE DE SAN JOSE,1902,4637,935,904,1839,18,45
SANTANDER,VELEZ,6193,16435,3254,2742,5996,37,160
SANTANDER,VETAS,580,1466,92,476,568,2,10
SANTANDER,VILLANUEVA,2389,6336,912,1427,2339,16,34
SANTANDER,ZAPATOCA,2620,7366,984,1563,2547,22,51
SUCRE,BUENAVISTA,3250,9619,2187,993,3180,48,22
SUCRE,CAIMITO,2814,8757,2126,623,2749,41,24
SUCRE,CHALAN,1394,4403,869,466,1335,40,19
SUCRE,COLOSO (RICAURTE),2374,6755,1628,693,2321,27,26
SUCRE,COROZAL,18206,45886,10907,6973,17880,120,206
SUCRE,COVEÑAS,3898,10921,1918,1915,3833,24,41
SUCRE,EL ROBLE,2912,7694,2238,633,2871,19,22
SUCRE,GALERAS (NUEVA GRANADA),5332,15770,2181,3039,5220,61,51
SUCRE,GUARANDA,3584,12792,1811,1701,3512,24,48
SUCRE,LA UNION,2983,9408,2329,599,2928,37,18
SUCRE,LOS PALMITOS,7661,17591,5779,1751,7530,65,66
SUCRE,MAJAGUAL,6929,26077,3935,2857,6792,85,52
SUCRE,MORROA,5222,12813,3322,1753,5075,46,101
SUCRE,OVEJAS,7470,20135,5328,2019,7347,65,58
SUCRE,PALMITO,3394,9642,2323,1011,3334,31,29
SUCRE,SAMPUES,11708,30974,6816,4596,11412,126,170
SUCRE,SAN BENITO ABAD,5485,18505,3460,1917,5377,62,46
SUCRE,SAN JUAN DE BETULIA (BETULIA),4534,11225,3185,1282,4467,28,39
SUCRE,SAN MARCOS,11381,42745,7058,4036,11094,122,165
SUCRE,SAN ONOFRE,10458,40959,7973,2247,10220,117,121
SUCRE,SAN PEDRO,5895,16284,3759,2036,5795,62,38
SUCRE,SINCE,9157,25579,5470,3493,8963,82,112
SUCRE,SINCELEJO,70389,195898,37461,31435,68896,722,771
SUCRE,SUCRE,5670,20688,3100,2459,5559,59,52
SUCRE,TOLU,7870,22816,5427,2300,7727,54,89
SUCRE,TOLUVIEJO,7424,17811,5227,2060,7287,74,63
TOLIMA,ALPUJARRA,1517,3725,452,1005,1457,14,46
TOLIMA,ALVARADO,2787,8422,1312,1415,2727,24,36
TOLIMA,AMBALEMA,2403,6922,1216,1126,2342,14,47
TOLIMA,ANZOATEGUI,2362,7462,693,1576,2269,51,42
TOLIMA,ARMERO (GUAYABAL),3568,10172,1794,1676,3470,30,68
TOLIMA,ATACO,5252,14957,1658,3451,5109,75,68
TOLIMA,CAJAMARCA,6046,16190,1823,4084,5907,54,85
TOLIMA,CARMEN DE APICALA,3506,8453,1218,2242,3460,12,34
TOLIMA,CASABIANCA,1926,4940,922,953,1875,29,22
TOLIMA,CHAPARRAL,12516,38101,5476,6694,12170,174,172
TOLIMA,COELLO,2701,7709,1488,1157,2645,22,34
TOLIMA,COYAIMA,5685,17192,3404,2081,5485,119,81
TOLIMA,CUNDAY,2648,7208,1075,1516,2591,26,31
TOLIMA,DOLORES,2759,6729,1109,1563,2672,35,52
TOLIMA,ESPINAL,23446,58148,8388,14623,23011,111,324
TOLIMA,FALAN,2230,5702,1147,995,2142,36,52
TOLIMA,FLANDES,6693,17194,2373,4194,6567,38,88
TOLIMA,FRESNO,8566,26101,2741,5542,8283,100,183
TOLIMA,GUAMO,9014,25766,3042,5783,8825,75,114
TOLIMA,HERVEO,1932,5922,724,1128,1852,40,40
TOLIMA,HONDA,8549,23027,3549,4788,8337,62,150
TOLIMA,IBAGUE,182499,392554,70780,108879,179659,656,2184
TOLIMA,ICONONZO,2912,8395,1498,1335,2833,30,49
TOLIMA,LERIDA,5665,15269,2748,2812,5560,28,77
TOLIMA,LIBANO,10767,32895,5158,5238,10396,145,226
TOLIMA,MARIQUITA,11144,28817,4570,6277,10847,80,217
TOLIMA,MELGAR,10942,27553,3102,7663,10765,47,130
TOLIMA,MURILLO,1169,3782,409,690,1099,14,56
TOLIMA,NATAGAIMA,5420,15411,2970,2331,5301,41,78
TOLIMA,ORTEGA,8505,23729,3247,4872,8119,159,227
TOLIMA,PALOCABILDO,2488,7468,1003,1412,2415,24,49
TOLIMA,PIEDRAS,1968,5387,974,959,1933,10,25
TOLIMA,PLANADAS,6205,19662,2818,3081,5899,108,198
TOLIMA,PRADO,2999,7933,1121,1799,2920,36,43
TOLIMA,PURIFICACION,8339,20186,4045,4139,8184,50,105
TOLIMA,RIOBLANCO,4778,16033,2209,2317,4526,133,119
TOLIMA,RONCESVALLES,1566,4175,768,728,1496,22,48
TOLIMA,ROVIRA,6272,19506,1776,4287,6063,57,152
TOLIMA,SALDAÑA,4492,12416,1463,2954,4417,22,53
TOLIMA,SAN ANTONIO,4044,10013,1097,2770,3867,83,94
TOLIMA,SAN LUIS,4344,10802,1638,2595,4233,54,57
TOLIMA,SANTA ISABEL,1791,5802,485,1256,1741,19,31
TOLIMA,SUAREZ,1813,4386,700,1095,1795,3,15
TOLIMA,VALLE DE SAN JUAN,1500,4942,673,789,1462,12,26
TOLIMA,VENADILLO,4488,11721,1929,2478,4407,29,52
TOLIMA,VILLAHERMOSA,2419,7181,605,1732,2337,43,39
TOLIMA,VILLARRICA,1793,5204,671,1070,1741,10,42
VALLE,ALCALA,3800,11192,1804,1886,3690,41,69
VALLE,ANDALUCIA,6865,19548,3505,3219,6724,40,101
VALLE,ANSERMANUEVO,5405,19269,1667,3609,5276,49,80
VALLE,ARGELIA,1955,6426,923,983,1906,19,30
VALLE,BOLIVAR,4964,13389,2065,2759,4824,65,75
VALLE,BUENAVENTURA,62389,219150,42565,17670,60235,629,1525
VALLE,BUGA,42281,100078,20956,20572,41528,202,551
VALLE,BUGALAGRANDE,7101,19020,3977,2934,6911,54,136
VALLE,CAICEDONIA,10321,28321,3886,6106,9992,143,186
VALLE,CALI,596245,1637938,319949,269502,589451,2298,4496
VALLE,CALIMA (DARIEN),4705,13908,2238,2349,4587,41,77
VALLE,CANDELARIA,23999,68548,10898,12525,23423,136,440
VALLE,CARTAGO,39722,111785,14845,24101,38946,222,554
VALLE,DAGUA,10754,35005,4666,5858,10524,80,150
VALLE,EL AGUILA,2896,8127,871,1949,2820,20,56
VALLE,EL CAIRO,1935,6723,932,919,1851,52,32
VALLE,EL CERRITO,18476,51868,9380,8732,18112,101,263
VALLE,EL DOVIO,3042,9808,972,1987,2959,32,51
VALLE,FLORIDA,18826,50135,10354,7906,18260,219,347
VALLE,GINEBRA,6619,16309,3182,3263,6445,75,99
VALLE,GUACARI,10586,27420,5786,4555,10341,61,184
VALLE,JAMUNDI,34404,96350,18060,15665,33725,161,518
VALLE,LA CUMBRE,4132,12758,2037,2022,4059,29,44
VALLE,LA UNION,10429,26489,2792,7386,10178,81,170
VALLE,LA VICTORIA,4260,11609,1930,2234,4164,41,55
VALLE,OBANDO,3657,11185,1579,1970,3549,27,81
VALLE,PALMIRA,101380,261731,54278,45431,99709,509,1162
VALLE,PRADERA,15215,39766,7574,7263,14837,120,258
VALLE,RESTREPO,4447,14911,1777,2574,4351,38,58
VALLE,RIOFRIO,5310,15859,2103,3065,5168,44,98
VALLE,ROLDANILLO,11174,28313,4631,6372,11003,56,115
VALLE,SAN PEDRO,5506,14680,2708,2689,5397,34,75
VALLE,SEVILLA,13312,37835,6589,6231,12820,157,335
VALLE,TORO,3926,12667,1383,2422,3805,44,77
VALLE,TRUJILLO,5401,15793,1960,3296,5256,60,85
VALLE,TULUA,62052,157134,27738,32877,60615,436,1001
VALLE,ULLOA,1674,4636,909,712,1621,25,28
VALLE,VERSALLES,2686,7989,963,1650,2613,35,38
VALLE,VIJES,3437,10404,1812,1554,3366,36,35
VALLE,YOTOCO,5060,14310,2358,2608,4966,33,61
VALLE,YUMBO,34988,96839,18095,16252,34347,171,470
VALLE,ZARZAL,13542,36664,6632,6580,13212,67,263
VAUPES,BUENOS AIRES (PACOA),190,1080,170,16,186,1,3
VAUPES,CARURU,465,1721,382,76,458,0,7
VAUPES,MITU,3627,15576,2705,872,3577,20,30
VAUPES,MORICHAL (PAPUNAGUA),19,109,18,1,19,0,0
VAUPES,TARAIRA,345,1377,243,65,308,36,1
VAUPES,YAVARATE,316,1035,278,37,315,1,0
VICHADA,CUMARIBO,3763,19420,2717,952,3669,42,52
VICHADA,LA PRIMAVERA,2504,7267,661,1787,2448,23,33
VICHADA,PUERTO CARREÑO,4820,17433,2185,2549,4734,24,62
VICHADA,SANTA ROSALIA,1284,3013,576,689,1265,6,13
